Channel Name,Rank,Week,Impressions,Genere,Languages
News18 Kannada,4,16,56084,kanada news,Kanada
Dighvijay 24x7 News,5,16,25660,kanada news,Kanada
Zee Kannada,1,16,348005,kanada,Kanada
Udaya TV,2,16,297552,kanada,Kanada
Udaya Movies,3,16,220020,kanada,Kanada
Colors Kannada,4,16,147314,kanada,Kanada
Star Suvarna,5,16,117379,kanada,Kanada
NICK,1,16,196534,kids,Kids
Pogo TV,2,16,136213,kids,Kids
Cartoon Network,3,16,126264,kids,Kids
Sony YAY,4,16,113062,kids,Kids
Sonic Nickelodeon,5,16,112622,kids,Kids
FYI TV18,1,16,1394,lifestyle,Lifestyle
Living Foodz,2,16,1366,lifestyle,Lifestyle
TLC,3,16,800,lifestyle,Lifestyle
Food Food,4,16,443,lifestyle,Lifestyle
Fox Life,5,16,293,lifestyle,Lifestyle
Asianet News,1,16,75239,malayalam news,Malayalam 
Manorama News,2,16,42553,malayalam news,Malayalam 
Twenty Four,3,16,41454,malayalam news,Malayalam 
Mathrubhumi News,4,16,39363,malayalam news,Malayalam 
News18 Kerala,5,16,17960,malayalam news,Malayalam 
Asianet,1,16,180431,malayalam,Malayalam 
Surya TV,2,16,140973,malayalam,Malayalam 
Mazhavil Manorama,3,16,122956,malayalam,Malayalam 
Flowers TV,4,16,81422,malayalam,Malayalam 
Zee Keralam,5,16,62325,malayalam,Malayalam 
TV9 Marathi,1,16,123831,marathi news,Marathi
Saam TV,2,16,110073,marathi news,Marathi
ABP Majha,3,16,101834,marathi news,Marathi
Zee 24 Taas,4,16,79128,marathi news,Marathi
News18 Lokmat,5,16,34266,marathi news,Marathi
Zee Talkies,1,16,166698,marathi,Marathi
Zee Marathi,2,16,165090,marathi,Marathi
Fakt Marathi,3,16,159225,marathi,Marathi
Shemaroo Marathibana,4,16,123848,marathi,Marathi
STAR Pravah,5,16,51356,marathi,Marathi
Mastiii,1,16,128064,music,Music
B4U Music,2,16,127115,music,Music
ShowBox,3,16,102889,music,Music
9XM,4,16,89839,music,Music
MTV Beats,5,16,88858,music,Music
OTV,1,16,49357,oriya news,Oriya
Kanak News,2,16,16923,oriya news,Oriya
Kalinga TV,3,16,10453,oriya news,Oriya
News18 Odia,4,16,10406,oriya news,Oriya
News7,5,16,6843,oriya news,Oriya
Alankar,1,16,80589,oriya,Oriya
Zee Sarthak,2,16,78682,oriya,Oriya
Tarang,3,16,72572,oriya,Oriya
Colors Oriya,4,16,24280,oriya,Oriya
Prarthana,5,16,23051,oriya,Oriya
Pitaara TV,1,16,69852,punjabi,Punjabi
PTC Punjabi,2,16,59059,punjabi,Punjabi
Zee Punjabi,3,16,51090,punjabi,Punjabi
Manoranjan Movies,4,16,26425,punjabi,Punjabi
Maha Punjabi,5,16,26239,punjabi,Punjabi
STAR Sports 1 Hindi,1,16,55056,sports,Sports
Sony Ten 1,2,16,42216,sports,Sports
STAR Sports 2,3,16,26080,sports,Sports
Sony Ten 3,4,16,23782,sports,Sports
STAR Sports First,5,16,22481,sports,Sports
Polimer News,1,16,111309,tamil news,Tamil
Sun News,2,16,56956,tamil news,Tamil
Thanthi TV,3,16,47799,tamil news,Tamil
News18 Tamil Nadu,4,16,46382,tamil news,Tamil
Puthiya Thalaimurai,5,16,46338,tamil news,Tamil
Sun TV,1,16,1033146,tamil,Tamil
KTV,2,16,564636,tamil,Tamil
STAR Vijay,3,16,369092,tamil,Tamil
Zee Tamil,4,16,285536,tamil,Tamil
STAR Vijay Super,5,16,201135,tamil,Tamil
TV9 Telugu,1,16,144536,telugu news,Telugu
V6 News,2,16,69624,telugu news,Telugu
NTV Telugu,3,16,65399,telugu news,Telugu
TV 5 News,4,16,56865,telugu news,Telugu
Sakshi TV,5,16,39882,telugu news,Telugu
Gemini TV,1,16,503943,telugu,Telugu
STAR Maa,2,16,500065,telugu,Telugu
ETV Telugu,3,16,476436,telugu,Telugu
Zee Telugu,4,16,382905,telugu,Telugu
Gemini Movies,5,16,293733,telugu,Telugu
Zing,1,16,56109,youth,Youth
MTV,2,16,16856,youth,Youth
E24,3,16,4662,youth,Youth
MTV HD+,4,16,686,youth,Youth
News Live,1,17,43036,assamese news,Assamese
News Live,2,17,20743,assamese news,Assamese
News Live,3,17,15721,assamese news,Assamese
News Live,4,17,11371,assamese news,Assamese
News Live,5,17,11340,assamese news,Assamese
News Live,1,17,27609,assamese,Assamese
Rengoni,2,17,13042,assamese,Assamese
Ramdhenu,3,17,9480,assamese,Assamese
Jonack,4,17,3359,assamese,Assamese
DD North East,5,17,902,assamese,Assamese
ABP Ananda,1,17,103416,bangla news,Bangla
Zee 24 Ghanta,2,17,58509,bangla news,Bangla
News18 Bangla,3,17,29691,bangla news,Bangla
Calcutta News,4,17,28752,bangla news,Bangla
Kolkata TV,5,17,21444,bangla news,Bangla
Zee Bangla,1,17,195784,bangla,Bangla
STAR Jalsha,2,17,142052,bangla,Bangla
Jalsha Movies,3,17,117310,bangla,Bangla
Sony Aath,4,17,110051,bangla,Bangla
Zee Bangla Cinema,5,17,95997,bangla,Bangla
Bhojpuri Cinema,1,17,66658,bhojpuri,Bhojpuri
Zee Biskope,2,17,54637,bhojpuri,Bhojpuri
B4U Bhojpuri,3,17,42523,bhojpuri,Bhojpuri
Big Ganga,4,17,24454,bhojpuri,Bhojpuri
Dabangg,5,17,24042,bhojpuri,Bhojpuri
CNBC TV 18,1,17,911,english business news,English
ET Now,2,17,499,english business news,English
CNBC TV 18 Prime HD,3,17,37,english business news,English
Comedy Central,1,17,925,english entertainment,English
AXN HD,2,17,754,english entertainment,English
Disney International HD,3,17,638,english entertainment,English
STAR World,4,17,587,english entertainment,English
AXN,5,17,545,english entertainment,English
STAR Movies,1,17,16182,english movies,English
Movies Now,2,17,16060,english movies,English
Sony PIX,3,17,14831,english movies,English
HBO,4,17,14138,english movies,English
MNX,5,17,8173,english movies,English
Republic TV,1,17,4804,english news,English
India Today Television,2,17,3312,english news,English
Times Now,3,17,2763,english news,English
CNN News18,4,17,2033,english news,English
DD India,5,17,1538,english news,English
TV9 Gujarati,1,17,49851,gujarati,Gujarati
ABP Asmita,2,17,42815,gujarati,Gujarati
Colors Gujarati Cinema,3,17,29723,gujarati,Gujarati
Zee 24 Kalak,4,17,28665,gujarati,Gujarati
Sandesh News,5,17,28053,gujarati,Gujarati
CNBC Awaaz,1,17,5295,hindi business news,Hindi
Zee Business,2,17,4868,hindi business news,Hindi
Dangal,1,17,823100,hindi GEC rural,Hindi
DD National,2,17,766800,hindi GEC rural,Hindi
Big Magic,3,17,528844,hindi GEC rural,Hindi
DD Bharati,4,17,334205,hindi GEC rural,Hindi
SONY SAB,5,17,249367,hindi GEC rural,Hindi
STAR Plus,6,17,195968,hindi GEC rural,Hindi
Sony Pal,7,17,132614,hindi GEC rural,Hindi
STAR Utsav,8,17,131180,hindi GEC rural,Hindi
Sony Entertainment Television,9,17,118866,hindi GEC rural,Hindi
Colors,10,17,106622,hindi GEC rural,Hindi
DD National,1,17,900524,hindi GEC urban,Hindi
SONY SAB,2,17,500152,hindi GEC urban,Hindi
DD Bharati,3,17,477923,hindi GEC urban,Hindi
STAR Plus,4,17,379814,hindi GEC urban,Hindi
Sony Entertainment Television,5,17,343658,hindi GEC urban,Hindi
Dangal,6,17,266317,hindi GEC urban,Hindi
Colors,7,17,250211,hindi GEC urban,Hindi
STAR Utsav,8,17,193828,hindi GEC urban,Hindi
Sony Pal,9,17,156834,hindi GEC urban,Hindi
Big Magic,10,17,147599,hindi GEC urban,Hindi
DD National,1,17,1667324,hindi GEC,Hindi
Dangal,2,17,1089417,hindi GEC,Hindi
DD Bharati,3,17,812128,hindi GEC,Hindi
SONY SAB,4,17,749520,hindi GEC,Hindi
Big Magic,5,17,676443,hindi GEC,Hindi
STAR Plus,6,17,575782,hindi GEC,Hindi
Sony Entertainment Television,7,17,462524,hindi GEC,Hindi
Colors,8,17,356833,hindi GEC,Hindi
STAR Utsav,9,17,325008,hindi GEC,Hindi
Sony Pal,10,17,289448,hindi GEC,Hindi
B4U Kadak,1,17,245233,hindi movies rural,Hindi
Sony MAX,2,17,244806,hindi movies rural,Hindi
Zee Cinema,3,17,196851,hindi movies rural,Hindi
STAR Gold,4,17,193300,hindi movies rural,Hindi
B4U Movies,5,17,174651,hindi movies rural,Hindi
Sony MAX,1,17,397854,hindi movies urban,Hindi
STAR Gold,2,17,321126,hindi movies urban,Hindi
Zee Cinema,3,17,305748,hindi movies urban,Hindi
&pictures,4,17,226185,hindi movies urban,Hindi
STAR Gold 2,5,17,206402,hindi movies urban,Hindi
Sony MAX,1,17,642660,hindi movies,Hindi
STAR Gold,2,17,514426,hindi movies,Hindi
Zee Cinema,3,17,502599,hindi movies,Hindi
&pictures,4,17,363919,hindi movies,Hindi
B4U Kadak,5,17,334895,hindi movies,Hindi
Aaj Tak,1,17,144842,hindi news rural,Hindi
ABP News,2,17,121806,hindi news rural,Hindi
Republic Bharat,3,17,110572,hindi news rural,Hindi
TV9 Bharatvarsh,4,17,104614,hindi news rural,Hindi
India TV,5,17,98667,hindi news rural,Hindi
Aaj Tak,1,17,230975,hindi news urban,Hindi
India TV,2,17,182829,hindi news urban,Hindi
Republic Bharat,3,17,172075,hindi news urban,Hindi
ABP News,4,17,164002,hindi news urban,Hindi
Zee News,5,17,157478,hindi news urban,Hindi
Aaj Tak,1,17,375817,hindi news,Hindi
ABP News,2,17,285808,hindi news,Hindi
Republic Bharat,3,17,282648,hindi news,Hindi
India TV,4,17,281496,hindi news,Hindi
Zee News,5,17,253307,hindi news,Hindi
Discovery Channel,1,17,50283,infotainment,Infotainment
Animal Planet,2,17,34278,infotainment,Infotainment
National Geographic,3,17,29795,infotainment,Infotainment
Nat Geo Wild,4,17,29607,infotainment,Infotainment
History TV 18,5,17,26919,infotainment,Infotainment
TV9 Kannada,1,17,159439,kanada news,Kanada
Public TV,2,17,114413,kanada news,Kanada
Suvarna News 24x7,3,17,72029,kanada news,Kanada
News18 Kannada,4,17,48910,kanada news,Kanada
Dighvijay 24x7 News,5,17,24544,kanada news,Kanada
Udaya TV,1,17,372571,kanada,Kanada
Zee Kannada,2,17,276411,kanada,Kanada
Udaya Movies,3,17,244507,kanada,Kanada
Colors Kannada,4,17,123348,kanada,Kanada
Star Suvarna,5,17,105689,kanada,Kanada
NICK,1,17,196000,kids,Kids
Pogo TV,2,17,131055,kids,Kids
Cartoon Network,3,17,115156,kids,Kids
Sony YAY,4,17,110349,kids,Kids
Hungama,5,17,100645,kids,Kids
FYI TV18,1,17,12405,lifestyle,Lifestyle
TLC,2,17,8006,lifestyle,Lifestyle
Living Foodz,3,17,6844,lifestyle,Lifestyle
Food Food,4,17,3784,lifestyle,Lifestyle
Fox Life,5,17,1202,lifestyle,Lifestyle
Asianet News,1,17,74497,malayalam. news,Malayalam
Twenty Four,2,17,42191,malayalam. news,Malayalam
Manorama News,3,17,40974,malayalam. news,Malayalam
Mathrubhumi News,4,17,37035,malayalam. news,Malayalam
News18 Kerala,5,17,18833,malayalam. news,Malayalam
Asianet,1,17,181700,malayalam,Malayalam
Surya TV,2,17,153870,malayalam,Malayalam
Mazhavil Manorama,3,17,94333,malayalam,Malayalam
Flowers TV,4,17,81657,malayalam,Malayalam
Surya Movies,5,17,62389,malayalam,Malayalam
TV9 Marathi,1,17,120417,marathi news,Marathi
Saam TV,2,17,112460,marathi news,Marathi
ABP Majha,3,17,110552,marathi news,Marathi
Zee 24 Taas,4,17,84815,marathi news,Marathi
News18 Lokmat,5,17,36635,marathi news,Marathi
B4U Music,1,17,129394,music,Music
Mastiii,2,17,118695,music,Music
ShowBox,3,17,95563,music,Music
9XM,4,17,86245,music,Music
9X Jalwa,5,17,84024,music,Music
OTV,1,17,59390,oriya news,Oriya
Kanak News,2,17,17772,oriya news,Oriya
Kalinga TV,3,17,13652,oriya news,Oriya
News18 Odia,4,17,11196,oriya news,Oriya
News7,5,17,7078,oriya news,Oriya
Alankar,1,17,90154,oriya,Oriya
Zee Sarthak,2,17,74609,oriya,Oriya
Tarang,3,17,73739,oriya,Oriya
Prarthana,4,17,26956,oriya,Oriya
Colors Oriya,5,17,26749,oriya,Oriya
Pitaara TV,1,17,65466,punjabi,Punjabi
PTC Punjabi,2,17,59634,punjabi,Punjabi
Zee Punjabi,3,17,44901,punjabi,Punjabi
PTC News,4,17,29868,punjabi,Punjabi
Manoranjan Movies,5,17,25889,punjabi,Punjabi
STAR Sports 1 Hindi,1,17,53325,sports,Sports
Sony Ten 1,2,17,37784,sports,Sports
Sony Ten 3,3,17,20549,sports,Sports
STAR Sports First,4,17,15364,sports,Sports
STAR Sports 2,5,17,15305,sports,Sports
Polimer News,1,17,123645,tamil news,Tamil
Sun News,2,17,63618,tamil news,Tamil
Puthiya Thalaimurai,3,17,52424,tamil news,Tamil
Thanthi TV,4,17,51527,tamil news,Tamil
News18 Tamil Nadu,5,17,46873,tamil news,Tamil
Sun TV,1,17,1004325,tamil,Tamil
KTV,2,17,436596,tamil,Tamil
STAR Vijay,3,17,386254,tamil,Tamil
Zee Tamil,4,17,284512,tamil,Tamil
STAR Vijay Super,5,17,198908,tamil,Tamil
TV9 Telugu,1,17,124387,telugu news,Telugu
NTV Telugu,2,17,60693,telugu news,Telugu
V6 News,3,17,59901,telugu news,Telugu
TV 5 News,4,17,50616,telugu news,Telugu
Sakshi TV,5,17,37840,telugu news,Telugu
Gemini TV,1,17,542978,telugu,Telugu
STAR Maa,2,17,500212,telugu,Telugu
ETV Telugu,3,17,455716,telugu,Telugu
Zee Telugu,4,17,356443,telugu,Telugu
Gemini Movies,5,17,284158,telugu,Telugu
Zing,1,17,197909,youth,Youth
MTV,2,17,54530,youth,Youth
E24,3,17,12683,youth,Youth
MTV HD+,4,17,1834,youth,Youth
News Live,1,18,39995,assamese news,Assamese
DY 365,2,18,18453,assamese news,Assamese
Prag News,3,18,14568,assamese news,Assamese
Protidin Time,4,18,10638,assamese news,Assamese
News18 Assam,5,18,9956,assamese news,Assamese
Rang,1,18,24487,assamese,Assamese
Rengoni,2,18,11379,assamese,Assamese
Ramdhenu,3,18,9062,assamese,Assamese
Jonack,4,18,2591,assamese,Assamese
DD North East,5,18,838,assamese,Assamese
Zee Biskope,1,18,62902,bangla news,Bangla
Bhojpuri Cinema,2,18,50824,bangla news,Bangla
B4U Bhojpuri,3,18,36678,bangla news,Bangla
Big Ganga,4,18,30125,bangla news,Bangla
Dabangg,5,18,19689,bangla news,Bangla
Zee Bangla,1,18,191004,bangla,Bangla
Jalsha Movies,2,18,132863,bangla,Bangla
STAR Jalsha,3,18,130277,bangla,Bangla
Sony Aath,4,18,101538,bangla,Bangla
Colors Bangla,5,18,78960,bangla,Bangla
CNBC TV 18,1,18,885,english business news,English
ET Now,2,18,522,english business news,English
CNBC TV 18 Prime HD,3,18,31,english business news,English
Comedy Central,1,18,891,english entertainment,English
STAR World,2,18,706,english entertainment,English
Disney International HD,3,18,700,english entertainment,English
AXN,4,18,621,english entertainment,English
Colors Infinity SD,5,18,383,english entertainment,English
STAR Movies,1,18,15892,english movies,English
Sony PIX,2,18,14702,english movies,English
Movies Now,3,18,14113,english movies,English
HBO,4,18,9639,english movies,English
MNX,5,18,7098,english movies,English
Republic TV,1,18,4594,english news,English
Times Now,2,18,2619,english news,English
India Today Television,3,18,2540,english news,English
CNN News18,4,18,1841,english news,English
DD India,5,18,1417,english news,English
TV9 Gujarati,1,18,49137,gujarati,Gujarati
ABP Asmita,2,18,47211,gujarati,Gujarati
Zee 24 Kalak,3,18,33699,gujarati,Gujarati
Sandesh News,4,18,30413,gujarati,Gujarati
Colors Gujarati Cinema,5,18,23313,gujarati,Gujarati
CNBC Awaaz,1,18,5824,hindi business news,Hindi
Zee Business,2,18,5432,hindi business news,Hindi
Dangal,1,18,807199,hindi GEC rural,Hindi
Big Magic,2,18,526941,hindi GEC rural,Hindi
DD National,3,18,441861,hindi GEC rural,Hindi
DD Bharati,4,18,316392,hindi GEC rural,Hindi
STAR Plus,5,18,256892,hindi GEC rural,Hindi
SONY SAB,6,18,255257,hindi GEC rural,Hindi
STAR Utsav,7,18,129718,hindi GEC rural,Hindi
Colors,8,18,124809,hindi GEC rural,Hindi
Sony Pal,9,18,121237,hindi GEC rural,Hindi
Sony Entertainment Television,10,18,109357,hindi GEC rural,Hindi
STAR Plus,1,18,541519,hindi GEC urban,Hindi
SONY SAB,2,18,500533,hindi GEC urban,Hindi
DD National,3,18,491550,hindi GEC urban,Hindi
DD Bharati,4,18,434395,hindi GEC urban,Hindi
Sony Entertainment Television,5,18,327490,hindi GEC urban,Hindi
Colors,6,18,291386,hindi GEC urban,Hindi
Dangal,7,18,269340,hindi GEC urban,Hindi
STAR Utsav,8,18,195731,hindi GEC urban,Hindi
Big Magic,9,18,160750,hindi GEC urban,Hindi
&TV,10,18,151458,hindi GEC urban,Hindi
Dangal,1,18,1076539,hindi GEC,Hindi
DD National,2,18,933411,hindi GEC,Hindi
STAR Plus,3,18,798411,hindi GEC,Hindi
SONY SAB,4,18,755790,hindi GEC,Hindi
DD Bharati,5,18,750787,hindi GEC,Hindi
Big Magic,6,18,687691,hindi GEC,Hindi
Sony Entertainment Television,7,18,436848,hindi GEC,Hindi
Colors,8,18,416195,hindi GEC,Hindi
STAR Utsav,9,18,325449,hindi GEC,Hindi
Sony Pal,10,18,272596,hindi GEC,Hindi
B4U Kadak,1,18,282719,hindi movies rural,Hindi
Sony MAX,2,18,202256,hindi movies rural,Hindi
Zee Cinema,3,18,198591,hindi movies rural,Hindi
STAR Gold,4,18,197006,hindi movies rural,Hindi
B4U Movies,5,18,162717,hindi movies rural,Hindi
STAR Gold,1,18,359620,hindi movies urban,Hindi
Sony MAX,2,18,355189,hindi movies urban,Hindi
Zee Cinema,3,18,322516,hindi movies urban,Hindi
&pictures,4,18,211212,hindi movies urban,Hindi
STAR Gold 2,5,18,194502,hindi movies urban,Hindi
Sony MAX,1,18,557445,hindi movies,Hindi
STAR Gold,2,18,556626,hindi movies,Hindi
Zee Cinema,3,18,521107,hindi movies,Hindi
B4U Kadak,4,18,386523,hindi movies,Hindi
&pictures,5,18,344377,hindi movies,Hindi
Aaj Tak,1,18,134940,hindi news rural,Hindi
ABP News,2,18,102059,hindi news rural,Hindi
Republic Bharat,3,18,101345,hindi news rural,Hindi
TV9 Bharatvarsh,4,18,98408,hindi news rural,Hindi
Zee News,5,18,89400,hindi news rural,Hindi
Aaj Tak,1,18,209791,hindi news urban,Hindi
India TV,2,18,155538,hindi news urban,Hindi
Republic Bharat,3,18,150310,hindi news urban,Hindi
Zee News,4,18,142435,hindi news urban,Hindi
ABP News,5,18,134602,hindi news urban,Hindi
Aaj Tak,1,18,344731,hindi news,Hindi
Republic Bharat,2,18,251655,hindi news,Hindi
ABP News,3,18,236660,hindi news,Hindi
Zee News,4,18,231835,hindi news,Hindi
India TV,5,18,229358,hindi news,Hindi
TV9 Kannada,1,18,162009,kanada news,Kanada
Public TV,2,18,112066,kanada news,Kanada
Suvarna News,3,18,70827,kanada news,Kanada
News18 Kannada,4,18,46247,kanada news,Kanada
Dighvijay 24x7 News,5,18,25919,kanada news,Kanada
Udaya TV,1,18,345779,kanada,Kanada
Zee Kannada,2,18,254850,kanada,Kanada
Udaya Movies,3,18,183769,kanada,Kanada
Colors Kannada,4,18,133204,kanada,Kanada
Star Suvarna,5,18,104446,kanada,Kanada
NICK,1,18,208888,kids,Kids
Pogo TV,2,18,141275,kids,Kids
Sonic Nickelodeon,3,18,111759,kids,Kids
Sony YAY,4,18,106081,kids,Kids
Disney Channel,5,18,105233,kids,Kids
FYI TV18,1,18,12595,lifestyle,Lifestyle
TLC,2,18,8215,lifestyle,Lifestyle
Living Foodz,3,18,6550,lifestyle,Lifestyle
Food Food,4,18,4686,lifestyle,Lifestyle
Fox Life,5,18,1401,lifestyle,Lifestyle
Asianet News,1,18,72008,malayalam news,Malayalam
Twenty Four,2,18,41795,malayalam news,Malayalam
Mathrubhumi News,3,18,39275,malayalam news,Malayalam
Manorama News,4,18,38591,malayalam news,Malayalam
News18 Kerala,5,18,17811,malayalam news,Malayalam
Asianet,1,18,166572,malayalam,Malayalam
Surya TV,2,18,118427,malayalam,Malayalam
Mazhavil Manorama,3,18,98533,malayalam,Malayalam
Flowers TV,4,18,80362,malayalam,Malayalam
Kairali TV,5,18,52090,malayalam,Malayalam
TV9 Marathi,1,18,106928,marathi news,Marathi
ABP Majha,2,18,106495,marathi news,Marathi
Saam TV,3,18,104135,marathi news,Marathi
Zee 24 Taas,4,18,80086,marathi news,Marathi
News18 Lokmat,5,18,32298,marathi news,Marathi
Zee Talkies,1,18,152399,marathi,Marathi
Fakt Marathi,2,18,128069,marathi,Marathi
Zee Marathi,3,18,118967,marathi,Marathi
Shemaroo Marathibana,4,18,108429,marathi,Marathi
STAR Pravah,5,18,63263,marathi,Marathi
Mastiii,1,18,129229,music,Music
B4U Music,2,18,126491,music,Music
ShowBox,3,18,101615,music,Music
9XM,4,18,92539,music,Music
MTV Beats,5,18,86936,music,Music
OTV,1,18,61469,oriya news,Oriya
Kanak News,2,18,19769,oriya news,Oriya
Kalinga TV,3,18,14212,oriya news,Oriya
News18 Odia,4,18,13958,oriya news,Oriya
Zee Odisha,5,18,8965,oriya news,Oriya
Alankar,1,18,92862,oriya,Oriya
Zee Sarthak,2,18,82655,oriya,Oriya
Tarang,3,18,72298,oriya,Oriya
Colors Oriya,4,18,29252,oriya,Oriya
Prarthana,5,18,28114,oriya,Oriya
PTC Punjabi,1,18,59703,punjabi,Punjabi
Pitaara TV,2,18,58215,punjabi,Punjabi
Zee Punjabi,3,18,43726,punjabi,Punjabi
Manoranjan Movies,4,18,31914,punjabi,Punjabi
PTC News,5,18,26005,punjabi,Punjabi
STAR Sports 1 Hindi,1,18,61213,sports,Sports
Sony Ten 1,2,18,40828,sports,Sports
Sony Ten 3,3,18,24859,sports,Sports
STAR Sports 2,4,18,19072,sports,Sports
STAR Sports First,5,18,17120,sports,Sports
Polimer News,1,18,122522,tamil news,Tamil
Sun News,2,18,68630,tamil news,Tamil
Puthiya Thalaimurai,3,18,57777,tamil news,Tamil
Thanthi TV,4,18,55417,tamil news,Tamil
News18 Tamil Nadu,5,18,48223,tamil news,Tamil
Sun TV,1,18,939819,tamil,Tamil
KTV,2,18,421788,tamil,Tamil
STAR Vijay,3,18,388078,tamil,Tamil
Zee Tamil,4,18,265685,tamil,Tamil
STAR Vijay Super,5,18,168371,tamil,Tamil
TV9 Telugu,1,18,137526,telugu news,Telugu
V6 News,2,18,61175,telugu news,Telugu
NTV Telugu,3,18,60339,telugu news,Telugu
TV 5 News,4,18,57266,telugu news,Telugu
Sakshi TV,5,18,35915,telugu news,Telugu
STAR Maa,1,18,539913,telugu,Telugu
Gemini TV,2,18,488829,telugu,Telugu
ETV Telugu,3,18,410489,telugu,Telugu
Zee Telugu,4,18,363809,telugu,Telugu
Star Maa Movies,5,18,218362,telugu,Telugu
Zing,1,18,199485,youth,Youth
MTV,2,18,48382,youth,Youth
E24,3,18,12143,youth,Youth
MTV HD+,4,18,1282,youth,Youth
